toclevel	level	line	number	index	fromtitle	byteoffset	anchor	revid	date	time
1	2	History	1	1	Race_and_intelligence	527	History	431845	30/06/2018	08:35:36Z
1	2	Measured average IQs	2	2	Race_and_intelligence	7957	Measured_average_IQs	431845	30/06/2018	08:35:36Z
2	3	Worldwide	2.1	3	Race_and_intelligence	8197	Worldwide	431845	30/06/2018	08:35:36Z
2	3	World average IQ	2.2	4	Race_and_intelligence	12454	World_average_IQ	431845	30/06/2018	08:35:36Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	12772	United_States_Black-White_gap	431845	30/06/2018	08:35:36Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	20283	.22Hispanics.22	431845	30/06/2018	08:35:36Z
2	3	Jews	2.5	7	Race_and_intelligence	20754	Jews	431845	30/06/2018	08:35:36Z
2	3	Gypsies	2.6	8	Race_and_intelligence	20799	Gypsies	431845	30/06/2018	08:35:36Z
2	3	Pygmies	2.7	9	Race_and_intelligence	21527	Pygmies	431845	30/06/2018	08:35:36Z
2	3	Immigrants	2.8	10	Race_and_intelligence	21728	Immigrants	431845	30/06/2018	08:35:36Z
2	3	Historical differences	2.9	11	Race_and_intelligence	22292	Historical_differences	431845	30/06/2018	08:35:36Z
2	3	Related variables	2.1	12	Race_and_intelligence	22970	Related_variables	431845	30/06/2018	08:35:36Z
1	2	General race and intelligence research issues	3	13	Race_and_intelligence	23312	General_race_and_intelligence_research_issues	431845	30/06/2018	08:35:36Z
2	3	Ad hominem, straw men, and guilt by association	3.1	14	Race_and_intelligence	23364	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	431845	30/06/2018	08:35:36Z
2	3	Race research and the origin of racism	3.2	15	Race_and_intelligence	26756	Race_research_and_the_origin_of_racism	431845	30/06/2018	08:35:36Z
2	3	The existence of races	3.3	16	Race_and_intelligence	26907	The_existence_of_races	431845	30/06/2018	08:35:36Z
1	2	The genetics or not debate	4	17	Race_and_intelligence	28738	The_genetics_or_not_debate	431845	30/06/2018	08:35:36Z
2	3	Opinion of experts in 1987	4.1	18	Race_and_intelligence	30334	Opinion_of_experts_in_1987	431845	30/06/2018	08:35:36Z
2	3	Opinion of experts in 2013	4.2	19	Race_and_intelligence	31614	Opinion_of_experts_in_2013	431845	30/06/2018	08:35:36Z
2	3	Opinion of experts in 2016	4.3	20	Race_and_intelligence	33259	Opinion_of_experts_in_2016	431845	30/06/2018	08:35:36Z
1	2	Evolutionary explanations for racial differences	5	21	Race_and_intelligence	36297	Evolutionary_explanations_for_racial_differences	431845	30/06/2018	08:35:36Z
1	2	Race, sex, and intelligence	6	22	Race_and_intelligence	45069	Race.2C_sex.2C_and_intelligence	431845	30/06/2018	08:35:36Z
1	2	Interventions affecting IQ	7	23	Race_and_intelligence	45908	Interventions_affecting_IQ	431845	30/06/2018	08:35:36Z
1	2	Significance of IQ differences	8	24	Race_and_intelligence	47179	Significance_of_IQ_differences	431845	30/06/2018	08:35:36Z
2	3	Significance of IQ and g	8.1	25	Race_and_intelligence	47216	Significance_of_IQ_and_g	431845	30/06/2018	08:35:36Z
2	3	Significance of environmentally caused IQ changes	8.2	26	Race_and_intelligence	50434	Significance_of_environmentally_caused_IQ_changes	431845	30/06/2018	08:35:36Z
2	3	Very low average IQ values	8.3	27	Race_and_intelligence	50899	Very_low_average_IQ_values	431845	30/06/2018	08:35:36Z
2	3	Personality and apparent IQ	8.4	28	Race_and_intelligence	51843	Personality_and_apparent_IQ	431845	30/06/2018	08:35:36Z
2	3	Historical societies	8.5	29	Race_and_intelligence	52396	Historical_societies	431845	30/06/2018	08:35:36Z
2	3	Modern societies	8.6	30	Race_and_intelligence	62629	Modern_societies	431845	30/06/2018	08:35:36Z
2	3	Future	8.7	31	Race_and_intelligence	70203	Future	431845	30/06/2018	08:35:36Z
1	2	External links	9	32	Race_and_intelligence	70533	External_links	431845	30/06/2018	08:35:36Z
2	3	Article archives	9.1	33	Race_and_intelligence	70554	Article_archives	431845	30/06/2018	08:35:36Z
1	2	References	10	T-1	Template:References		References	431845	30/06/2018	08:35:36Z
1	2	History	1	1	Race_and_intelligence	527	History	431840	30/06/2018	07:43:19Z
1	2	Measured average IQs	2	2	Race_and_intelligence	7957	Measured_average_IQs	431840	30/06/2018	07:43:19Z
2	3	Worldwide	2.1	3	Race_and_intelligence	8197	Worldwide	431840	30/06/2018	07:43:19Z
2	3	World average IQ	2.2	4	Race_and_intelligence	12454	World_average_IQ	431840	30/06/2018	07:43:19Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	12772	United_States_Black-White_gap	431840	30/06/2018	07:43:19Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	19920	.22Hispanics.22	431840	30/06/2018	07:43:19Z
2	3	Jews	2.5	7	Race_and_intelligence	20391	Jews	431840	30/06/2018	07:43:19Z
2	3	Gypsies	2.6	8	Race_and_intelligence	20436	Gypsies	431840	30/06/2018	07:43:19Z
2	3	Pygmies	2.7	9	Race_and_intelligence	21164	Pygmies	431840	30/06/2018	07:43:19Z
2	3	Immigrants	2.8	10	Race_and_intelligence	21365	Immigrants	431840	30/06/2018	07:43:19Z
2	3	Historical differences	2.9	11	Race_and_intelligence	21929	Historical_differences	431840	30/06/2018	07:43:19Z
2	3	Related variables	2.1	12	Race_and_intelligence	22607	Related_variables	431840	30/06/2018	07:43:19Z
1	2	General race and intelligence research issues	3	13	Race_and_intelligence	22949	General_race_and_intelligence_research_issues	431840	30/06/2018	07:43:19Z
2	3	Ad hominem, straw men, and guilt by association	3.1	14	Race_and_intelligence	23001	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	431840	30/06/2018	07:43:19Z
2	3	Race research and the origin of racism	3.2	15	Race_and_intelligence	26393	Race_research_and_the_origin_of_racism	431840	30/06/2018	07:43:19Z
2	3	The existence of races	3.3	16	Race_and_intelligence	26544	The_existence_of_races	431840	30/06/2018	07:43:19Z
1	2	The genetics or not debate	4	17	Race_and_intelligence	28375	The_genetics_or_not_debate	431840	30/06/2018	07:43:19Z
2	3	Opinion of experts in 1987	4.1	18	Race_and_intelligence	29971	Opinion_of_experts_in_1987	431840	30/06/2018	07:43:19Z
2	3	Opinion of experts in 2013	4.2	19	Race_and_intelligence	31251	Opinion_of_experts_in_2013	431840	30/06/2018	07:43:19Z
2	3	Opinion of experts in 2016	4.3	20	Race_and_intelligence	32896	Opinion_of_experts_in_2016	431840	30/06/2018	07:43:19Z
1	2	Evolutionary explanations for racial differences	5	21	Race_and_intelligence	35934	Evolutionary_explanations_for_racial_differences	431840	30/06/2018	07:43:19Z
1	2	Race, sex, and intelligence	6	22	Race_and_intelligence	44706	Race.2C_sex.2C_and_intelligence	431840	30/06/2018	07:43:19Z
1	2	Interventions affecting IQ	7	23	Race_and_intelligence	45545	Interventions_affecting_IQ	431840	30/06/2018	07:43:19Z
1	2	Significance of IQ differences	8	24	Race_and_intelligence	46816	Significance_of_IQ_differences	431840	30/06/2018	07:43:19Z
2	3	Significance of IQ and g	8.1	25	Race_and_intelligence	46853	Significance_of_IQ_and_g	431840	30/06/2018	07:43:19Z
2	3	Significance of environmentally caused IQ changes	8.2	26	Race_and_intelligence	50071	Significance_of_environmentally_caused_IQ_changes	431840	30/06/2018	07:43:19Z
2	3	Very low average IQ values	8.3	27	Race_and_intelligence	50536	Very_low_average_IQ_values	431840	30/06/2018	07:43:19Z
2	3	Personality and apparent IQ	8.4	28	Race_and_intelligence	51480	Personality_and_apparent_IQ	431840	30/06/2018	07:43:19Z
2	3	Historical societies	8.5	29	Race_and_intelligence	52033	Historical_societies	431840	30/06/2018	07:43:19Z
2	3	Modern societies	8.6	30	Race_and_intelligence	62266	Modern_societies	431840	30/06/2018	07:43:19Z
2	3	Future	8.7	31	Race_and_intelligence	69840	Future	431840	30/06/2018	07:43:19Z
1	2	External links	9	32	Race_and_intelligence	70170	External_links	431840	30/06/2018	07:43:19Z
2	3	Article archives	9.1	33	Race_and_intelligence	70191	Article_archives	431840	30/06/2018	07:43:19Z
1	2	References	10	T-1	Template:References		References	431840	30/06/2018	07:43:19Z
1	2	History	1	1	Race_and_intelligence	527	History	431833	28/06/2018	16:39:17Z
1	2	Measured average IQs	2	2	Race_and_intelligence	7957	Measured_average_IQs	431833	28/06/2018	16:39:17Z
2	3	Worldwide	2.1	3	Race_and_intelligence	8197	Worldwide	431833	28/06/2018	16:39:17Z
2	3	World average IQ	2.2	4	Race_and_intelligence	12454	World_average_IQ	431833	28/06/2018	16:39:17Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	12772	United_States_Black-White_gap	431833	28/06/2018	16:39:17Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	19920	.22Hispanics.22	431833	28/06/2018	16:39:17Z
2	3	Jews	2.5	7	Race_and_intelligence	20391	Jews	431833	28/06/2018	16:39:17Z
2	3	Gypsies	2.6	8	Race_and_intelligence	20436	Gypsies	431833	28/06/2018	16:39:17Z
2	3	Pygmies	2.7	9	Race_and_intelligence	21164	Pygmies	431833	28/06/2018	16:39:17Z
2	3	Immigrants	2.8	10	Race_and_intelligence	21365	Immigrants	431833	28/06/2018	16:39:17Z
2	3	Historical differences	2.9	11	Race_and_intelligence	21929	Historical_differences	431833	28/06/2018	16:39:17Z
2	3	Related variables	2.1	12	Race_and_intelligence	22607	Related_variables	431833	28/06/2018	16:39:17Z
1	2	General race and intelligence research issues	3	13	Race_and_intelligence	22949	General_race_and_intelligence_research_issues	431833	28/06/2018	16:39:17Z
2	3	Ad hominem, straw men, and guilt by association	3.1	14	Race_and_intelligence	23001	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	431833	28/06/2018	16:39:17Z
2	3	Race research and the origin of racism	3.2	15	Race_and_intelligence	26393	Race_research_and_the_origin_of_racism	431833	28/06/2018	16:39:17Z
2	3	The existence of races	3.3	16	Race_and_intelligence	26544	The_existence_of_races	431833	28/06/2018	16:39:17Z
1	2	The genetics or not debate	4	17	Race_and_intelligence	28375	The_genetics_or_not_debate	431833	28/06/2018	16:39:17Z
2	3	Opinion of experts in 1987	4.1	18	Race_and_intelligence	29971	Opinion_of_experts_in_1987	431833	28/06/2018	16:39:17Z
2	3	Opinion of experts in 2013	4.2	19	Race_and_intelligence	31251	Opinion_of_experts_in_2013	431833	28/06/2018	16:39:17Z
2	3	Opinion of experts in 2016	4.3	20	Race_and_intelligence	32896	Opinion_of_experts_in_2016	431833	28/06/2018	16:39:17Z
1	2	Evolutionary explanations for racial differences	5	21	Race_and_intelligence	35934	Evolutionary_explanations_for_racial_differences	431833	28/06/2018	16:39:17Z
1	2	Race, sex, and intelligence	6	22	Race_and_intelligence	44706	Race.2C_sex.2C_and_intelligence	431833	28/06/2018	16:39:17Z
1	2	Interventions affecting IQ	7	23	Race_and_intelligence	45545	Interventions_affecting_IQ	431833	28/06/2018	16:39:17Z
1	2	Significance of IQ differences	8	24	Race_and_intelligence	46816	Significance_of_IQ_differences	431833	28/06/2018	16:39:17Z
2	3	Significance of IQ and g	8.1	25	Race_and_intelligence	46853	Significance_of_IQ_and_g	431833	28/06/2018	16:39:17Z
2	3	Significance of environmentally caused IQ changes	8.2	26	Race_and_intelligence	50071	Significance_of_environmentally_caused_IQ_changes	431833	28/06/2018	16:39:17Z
2	3	Very low average IQ values	8.3	27	Race_and_intelligence	50536	Very_low_average_IQ_values	431833	28/06/2018	16:39:17Z
2	3	Personality and apparent IQ	8.4	28	Race_and_intelligence	51480	Personality_and_apparent_IQ	431833	28/06/2018	16:39:17Z
2	3	Historical societies	8.5	29	Race_and_intelligence	52033	Historical_societies	431833	28/06/2018	16:39:17Z
